Date,Debt
1/1/1947,267
2/1/1947,268.8
3/1/1947,266.7
4/1/1947,265
5/1/1947,265.7
6/1/1947,265.2
7/1/1947,266.3
8/1/1947,267.4
9/1/1947,266
10/1/1947,264.4
11/1/1947,262.4
12/1/1947,259.6
1/1/1948,259.2
2/1/1948,257.5
3/1/1948,256
4/1/1948,255.4
5/1/1948,256.4
6/1/1948,255.5
7/1/1948,256.3
8/1/1948,255.8
9/1/1948,255.3
10/1/1948,254.9
11/1/1948,255.2
12/1/1948,256
1/1/1949,256.1
2/1/1949,256.4
3/1/1949,255.5
4/1/1949,255.4
5/1/1949,255.9
6/1/1949,257.9
7/1/1949,259.5
8/1/1949,262.2
9/1/1949,263
10/1/1949,263
11/1/1949,263.4
12/1/1949,263.9
1/1/1950,262.8
2/1/1950,261.9
3/1/1950,260.7
4/1/1950,260.2
5/1/1950,260.8
6/1/1950,261.2
7/1/1950,261.3
8/1/1950,261.8
9/1/1950,260.3
10/1/1950,259.5
11/1/1950,259.5
12/1/1950,259.1
1/1/1951,258.7
2/1/1951,258.3
3/1/1951,255.2
4/1/1951,254.1
5/1/1951,253.8
6/1/1951,254
7/1/1951,255.2
8/1/1951,257
9/1/1951,256.8
10/1/1951,257.6
11/1/1951,258.4
12/1/1951,255.5
1/1/1952,258.6
2/1/1952,259.1
3/1/1952,257.4
4/1/1952,258.8
5/1/1952,260.3
6/1/1952,259.1
7/1/1952,262.4
8/1/1952,261.8
9/1/1952,260.5
10/1/1952,263.3
11/1/1952,265.6
12/1/1952,265.1
1/1/1953,264.8
2/1/1953,264.2
3/1/1953,260.6
4/1/1953,259
5/1/1953,259.4
6/1/1953,260.7
7/1/1953,267.8
8/1/1953,268.3
9/1/1953,270.7
10/1/1953,271.9
11/1/1953,273.3
12/1/1953,275
1/1/1954,275.8
2/1/1954,277.1
3/1/1954,273
4/1/1954,274.9
5/1/1954,275.4
6/1/1954,274.6
7/1/1954,274.4
8/1/1954,277.7
9/1/1954,277
10/1/1954,280.5
11/1/1954,279.9
12/1/1954,279.5
1/1/1955,277.6
2/1/1955,276
3/1/1955,272
4/1/1955,274
5/1/1955,275.4
6/1/1955,271.1
7/1/1955,272.5
8/1/1955,273.2
9/1/1955,273.5
10/1/1955,276.7
11/1/1955,275.8
12/1/1955,276.1
1/1/1956,276.8
2/1/1956,276.6
3/1/1956,270.4
4/1/1956,268.8
5/1/1956,272
6/1/1956,268.1
7/1/1956,265.5
8/1/1956,266.6
9/1/1956,265.8
10/1/1956,266.4
11/1/1956,267.1
12/1/1956,265.7
1/1/1957,268.6
2/1/1957,267.9
3/1/1957,267
4/1/1957,264.6
5/1/1957,264.7
6/1/1957,258
7/1/1957,260.3
8/1/1957,262.1
9/1/1957,262.3
10/1/1957,262.4
11/1/1957,268.9
12/1/1957,271.6
1/1/1958,271.9
2/1/1958,273.8
3/1/1958,272.5
4/1/1958,275.8
5/1/1958,276.9
6/1/1958,275.2
7/1/1958,272.3
8/1/1958,268.5
9/1/1958,265.9
10/1/1958,269.5
11/1/1958,273.6
12/1/1958,271.5
1/1/1959,273.7
2/1/1959,274.3
3/1/1959,270
4/1/1959,271.9
5/1/1959,272.3
6/1/1959,269.9
7/1/1959,274
8/1/1959,273.8
9/1/1959,271.7
10/1/1959,276.7
11/1/1959,274.9
12/1/1959,273.5
1/1/1960,275.6
2/1/1960,276.1
3/1/1960,276.7
4/1/1960,277
5/1/1960,278.4
6/1/1960,278.1
7/1/1960,283.6
8/1/1960,283.4
9/1/1960,283.1
10/1/1960,284.7
11/1/1960,283
12/1/1960,285.9
1/1/1961,284.2
2/1/1961,285.7
3/1/1961,282.6
4/1/1961,283.7
5/1/1961,285.2
6/1/1961,282.8
7/1/1961,286.1
8/1/1961,286.8
9/1/1961,287.6
10/1/1961,289.8
11/1/1961,290.5
12/1/1961,289.1
1/1/1962,289.1
2/1/1962,290.9
3/1/1962,291.5
4/1/1962,293
5/1/1962,295
6/1/1962,292.6
7/1/1962,291.8
8/1/1962,297.3
9/1/1962,295.4
10/1/1962,298.5
11/1/1962,301.8
12/1/1962,300
1/1/1963,299.7
2/1/1963,300.7
3/1/1963,298.9
4/1/1963,298.8
5/1/1963,300.5
6/1/1963,301
7/1/1963,299.4
8/1/1963,300.8
9/1/1963,300.7
10/1/1963,299.7
11/1/1963,301.6
12/1/1963,302.2
1/1/1964,301.7
2/1/1964,303
3/1/1964,301.7
4/1/1964,300.2
5/1/1964,304.8
6/1/1964,305.4
7/1/1964,304.9
8/1/1964,307.4
9/1/1964,308.9
10/1/1964,309
11/1/1964,311.3
12/1/1964,311.1
1/1/1965,311.5
2/1/1965,313
3/1/1965,311.1
4/1/1965,310.1
5/1/1965,312.6
6/1/1965,311
7/1/1965,310
8/1/1965,310.9
9/1/1965,308.4
10/1/1965,310.3
11/1/1965,312.6
12/1/1965,309.3
1/1/1966,310.2
2/1/1966,309.4
3/1/1966,309.8
4/1/1966,307.9
5/1/1966,309.9
6/1/1966,306.3
7/1/1966,304.9
8/1/1966,307.3
9/1/1966,310.1
10/1/1966,313.6
11/1/1966,315.4
12/1/1966,319.5
1/1/1967,321
2/1/1967,320.6
3/1/1967,324.7
4/1/1967,319.4
5/1/1967,322.2
6/1/1967,313.3
7/1/1967,318.2
8/1/1967,322.2
9/1/1967,322.3
10/1/1967,323.9
11/1/1967,327.9
12/1/1967,327.9
1/1/1968,332
2/1/1968,337.2
3/1/1968,333.6
4/1/1968,331
5/1/1968,336.3
6/1/1968,333.4
7/1/1968,339.4
8/1/1968,342.7
9/1/1968,342.6
10/1/1968,344
11/1/1968,342.6
12/1/1968,339.4
1/1/1969,341
2/1/1969,339.3
3/1/1969,340.4
4/1/1969,340.6
5/1/1969,339.1
6/1/1969,331
7/1/1969,334.5
8/1/1969,336.8
9/1/1969,331.8
10/1/1969,340.7
11/1/1969,342.1
12/1/1969,338.9
1/1/1970,339.3
2/1/1970,347.2
3/1/1970,350.7
4/1/1970,341.6
5/1/1970,345.1
6/1/1970,346.7
7/1/1970,354.4
8/1/1970,358.3
9/1/1970,359.3
10/1/1970,361.8
11/1/1970,373.1
12/1/1970,378.2
1/1/1971,381.1
2/1/1971,385.8
3/1/1971,389.5
4/1/1971,383
5/1/1971,387.2
6/1/1971,382.5
7/1/1971,389.3
8/1/1971,405.9
9/1/1971,404.3
10/1/1971,406.9
11/1/1971,408.8
12/1/1971,419.8
1/1/1972,417.5
2/1/1972,419.4
3/1/1972,419.3
4/1/1972,419.2
5/1/1972,422.8
6/1/1972,419.9
7/1/1972,426.1
8/1/1972,426.8
9/1/1972,424.8
10/1/1972,431.1
11/1/1972,436.6
12/1/1972,439.9
1/1/1973,438
2/1/1973,440.6
3/1/1973,443.3
4/1/1973,442.8
5/1/1973,441.9
6/1/1973,441.1
7/1/1973,435
8/1/1973,441.8
9/1/1973,447.2
10/1/1973,448.7
11/1/1973,449.8
12/1/1973,454.9
1/1/1974,453.1
2/1/1974,455
3/1/1974,453.1
4/1/1974,447.6
5/1/1974,452.4
6/1/1974,451.8
7/1/1974,451
8/1/1974,455.4
9/1/1974,460.5
10/1/1974,460.9
11/1/1974,469.1
12/1/1974,478.7
1/1/1975,483
2/1/1975,490.8
3/1/1975,498
4/1/1975,501
5/1/1975,517.1
6/1/1975,520.9
7/1/1975,523.5
8/1/1975,532.2
9/1/1975,535.3
10/1/1975,551.2
11/1/1975,554.2
12/1/1975,567.8
1/1/1976,577.4
2/1/1976,586
3/1/1976,594.1
4/1/1976,595.7
5/1/1976,599.5
6/1/1976,611.5
7/1/1976,617.4
8/1/1976,630
9/1/1976,632.4
10/1/1976,637.3
11/1/1976,650.5
12/1/1976,660.1
1/1/1977,650.6
2/1/1977,659.7
3/1/1977,666.2
4/1/1977,667.7
5/1/1977,668.7
6/1/1977,673.4
7/1/1977,668.8
8/1/1977,681.1
9/1/1977,692.3
10/1/1977,687.1
11/1/1977,698.9
12/1/1977,706.8
1/1/1978,707.3
2/1/1978,714.6
3/1/1978,721.8
4/1/1978,718.3
5/1/1978,720.4
6/1/1978,724.6
7/1/1978,727.9
8/1/1978,742.9
9/1/1978,747.4
10/1/1978,744.8
11/1/1978,752.7
12/1/1978,752.2
1/1/1979,759.3
2/1/1979,758
3/1/1979,764.9
4/1/1979,763
5/1/1979,776.3
6/1/1979,782.7
7/1/1979,781.7
8/1/1979,782.2
9/1/1979,790.6
10/1/1979,768.1
11/1/1979,786.6
12/1/1979,798.1
1/1/1980,790
2/1/1980,769.4
3/1/1980,780.2
4/1/1980,827.3
5/1/1980,852.2
6/1/1980,855.9
7/1/1980,848.5
8/1/1980,840.1
9/1/1980,847.1
10/1/1980,837
11/1/1980,837.6
12/1/1980,863.8
1/1/1981,864.1
2/1/1981,871.2
3/1/1981,896.8
4/1/1981,876.9
5/1/1981,889.3
6/1/1981,892.6
7/1/1981,881.3
8/1/1981,877
9/1/1981,892.1
10/1/1981,922.6
11/1/1981,968.4
12/1/1981,961.4
1/1/1982,966.1
2/1/1982,979.4
3/1/1982,991.9
4/1/1982,1005.8
5/1/1982,1015.9
6/1/1982,1008.3
7/1/1982,1038.8
8/1/1982,1081.4
9/1/1982,1130.8
10/1/1982,1154.7
11/1/1982,1170.5
12/1/1982,1212.1
1/1/1983,1206.9
2/1/1983,1232.6
3/1/1983,1251.2
4/1/1983,1265
5/1/1983,1291.6
6/1/1983,1314.1
7/1/1983,1299.8
8/1/1983,1318.5
9/1/1983,1362.6
10/1/1983,1365.3
11/1/1983,1372
12/1/1983,1385.4
1/1/1984,1418.8
2/1/1984,1426.8
3/1/1984,1419.8
4/1/1984,1433.4
5/1/1984,1413.6
6/1/1984,1428.5
7/1/1984,1479.7
8/1/1984,1504.3
9/1/1984,1528
10/1/1984,1595.7
11/1/1984,1623.2
12/1/1984,1660.8
1/1/1985,1688.2
2/1/1985,1676.7
3/1/1985,1697.8
4/1/1985,1732.9
5/1/1985,1796.8
6/1/1985,1821.1
7/1/1985,1831.4
8/1/1985,1858.3
9/1/1985,1860.5
10/1/1985,1879.8
11/1/1985,1965.5
12/1/1985,2039.3
1/1/1986,2050.3
2/1/1986,2114.5
3/1/1986,2168.4
4/1/1986,2183.7
5/1/1986,2162.8
6/1/1986,2225
7/1/1986,2237.3
8/1/1986,2292.2
9/1/1986,2277.6
10/1/1986,2307.3
11/1/1986,2355.3
12/1/1986,2378.1
1/1/1987,2392.8
2/1/1987,2413.3
3/1/1987,2394.8
4/1/1987,2363.5
5/1/1987,2364.9
6/1/1987,2393.6
7/1/1987,2372.5
8/1/1987,2387.5
9/1/1987,2350.5
10/1/1987,2436.3
11/1/1987,2456.6
12/1/1987,2484
1/1/1988,2546.5
2/1/1988,2576.3
3/1/1988,2558.6
4/1/1988,2550.3
5/1/1988,2543
6/1/1988,2595.4
7/1/1988,2575.6
8/1/1988,2586.1
9/1/1988,2637
10/1/1988,2678.8
11/1/1988,2676.3
12/1/1988,2694.4
1/1/1989,2717.5
2/1/1989,2717.3
3/1/1989,2730.3
4/1/1989,2768.9
5/1/1989,2823.8
6/1/1989,2901.8
7/1/1989,2932.6
8/1/1989,2919.6
9/1/1989,2929.8
10/1/1989,3011.6
11/1/1989,3040
12/1/1989,3071.3
1/1/1990,3035.6
2/1/1990,3043.9
3/1/1990,3087.4
4/1/1990,3062.8
5/1/1990,3138.3
6/1/1990,3205.6
7/1/1990,3240.7
8/1/1990,3235.7
9/1/1990,3264.5
10/1/1990,3325.9
11/1/1990,3414.6
12/1/1990,3469.8
1/1/1991,3524.6
2/1/1991,3568.6
3/1/1991,3571.1
4/1/1991,3560.4
5/1/1991,3603.3
6/1/1991,3623.5
7/1/1991,3674.9
8/1/1991,3750.4
9/1/1991,3807.2
10/1/1991,3894.7
11/1/1991,3935.9
12/1/1991,4066.6
1/1/1992,4009.3
2/1/1992,4021.4
3/1/1992,4038
4/1/1992,4049.1
5/1/1992,4126.6
6/1/1992,4194.9
7/1/1992,4226.8
8/1/1992,4316
9/1/1992,4341.8
10/1/1992,4299.2
11/1/1992,4372.2
12/1/1992,4412.8
1/1/1993,4446
2/1/1993,4519.6
3/1/1993,4541.6
4/1/1993,4570.5
5/1/1993,4590.6
6/1/1993,4701.2
7/1/1993,4692.3
8/1/1993,4793.9
9/1/1993,4798.7
