Date,Ten_Rate
1/1/1962,4.1
2/1/1962,4
3/1/1962,3.86
4/1/1962,3.86
5/1/1962,3.9
6/1/1962,4
7/1/1962,4.04
8/1/1962,3.96
9/1/1962,3.94
10/1/1962,3.92
11/1/1962,3.92
12/1/1962,3.85
1/1/1963,3.87
2/1/1963,3.94
3/1/1963,3.95
4/1/1963,3.95
5/1/1963,3.96
6/1/1963,4
7/1/1963,4
8/1/1963,4.02
9/1/1963,4.07
10/1/1963,4.15
11/1/1963,4.08
12/1/1963,4.14
1/1/1964,4.15
2/1/1964,4.18
3/1/1964,4.23
4/1/1964,4.22
5/1/1964,4.19
6/1/1964,4.15
7/1/1964,4.19
8/1/1964,4.21
9/1/1964,4.18
10/1/1964,4.16
11/1/1964,4.2
12/1/1964,4.21
1/1/1965,4.19
2/1/1965,4.22
3/1/1965,4.2
4/1/1965,4.21
5/1/1965,4.23
6/1/1965,4.2
7/1/1965,4.22
8/1/1965,4.27
9/1/1965,4.35
10/1/1965,4.41
11/1/1965,4.48
12/1/1965,4.65
1/1/1966,4.69
2/1/1966,5.02
3/1/1966,4.71
4/1/1966,4.79
5/1/1966,4.8
6/1/1966,4.97
7/1/1966,5.05
8/1/1966,5.36
9/1/1966,5.02
10/1/1966,4.97
11/1/1966,5.12
12/1/1966,4.64
1/1/1967,4.52
2/1/1967,4.72
3/1/1967,4.5
4/1/1967,4.78
5/1/1967,4.81
6/1/1967,5.22
7/1/1967,5.16
8/1/1967,5.27
9/1/1967,5.31
10/1/1967,5.64
11/1/1967,5.74
12/1/1967,5.7
1/1/1968,5.54
2/1/1968,5.56
3/1/1968,5.76
4/1/1968,5.74
5/1/1968,5.86
6/1/1968,5.64
7/1/1968,5.39
8/1/1968,5.42
9/1/1968,5.49
10/1/1968,5.61
11/1/1968,5.78
12/1/1968,6.16
1/1/1969,6.19
2/1/1969,6.26
3/1/1969,6.3
4/1/1969,6.2
5/1/1969,6.56
6/1/1969,6.73
7/1/1969,6.66
8/1/1969,6.83
9/1/1969,7.51
10/1/1969,6.94
11/1/1969,7.29
12/1/1969,7.88
1/1/1970,7.75
2/1/1970,6.9
3/1/1970,7.08
4/1/1970,7.82
